"STA_LIBELLE";"STA_LIBELLE";"PRO_LIBELLE_PRODUIT";"PRO_REFERENCE";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Sceaux rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Seurey blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Seurey rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Sizies blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Sizies rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Teurons blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Teurons rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Toussaints blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Toussaints rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Tuvilains blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Tuvilains rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Vignes Franches blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Les Vignes Franches rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Montée Rouge blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Montée Rouge rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Pertuisots blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Pertuisots rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Sur les Grèves - Clos Saint-Anne blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Sur les Grèves - Clos Saint-Anne rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Sur les Grèves blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune premier cru Sur les Grèves rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Beaune rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bienvenues-Bâtard-Montrachet";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny ou Blagny Côte de Beaune";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru Hameau de Blagny";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru La Garenne ou sur la Garenne";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru La Jeunellotte";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru La Pièce sous le Bois";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru Sous Blagny";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru Sous le Dos d'Ane";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Blagny premier cru Sous le Puits";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bonnes-Mares";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne aligoté";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne aligoté nouveau ou primeur";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne clairet ou rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Côte d'Or blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Côte d'Or rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne gamay rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Hautes Côtes de Beaune blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Hautes Côtes de Beaune clairet ou rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Hautes Côtes de Beaune rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Hautes Côtes de Nuits blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Hautes Côtes de Nuits clairet ou rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Hautes Côtes de Nuits rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne La Chapelle Notre-Dame blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne La Chapelle Notre-Dame clairet ou rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne La Chapelle Notre-Dame rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Le Chapitre blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Le Chapitre clairet ou rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Le Chapitre rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Montrecul ou Montre-Cul ou En Montre-Cul blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Montrecul ou Montre-Cul ou En Montre-Cul clairet ou rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Montrecul ou Montre-Cul ou En Montre-Cul rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne mousseux";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne nouveau ou primeur";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Passe-tout-grains rosé";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne Passe-tout-grains rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Bourgogne rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambertin";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambertin-Clos de Bèze";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Aux Beaux Bruns";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Aux Combottes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Aux Echanges";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Derrière la Grange";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru La Combe d'Orveau";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Amoureuses";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Baudes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Borniques";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Carrières";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Chabiots";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Charmes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Chatelots";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Combottes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Cras";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Feusselottes ou Les Feusselotes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Fuées";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Groseilles";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Gruenchers";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Hauts Doix";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Lavrottes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Noirots";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Plantes";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Sentiers";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chambolle-Musigny premier cru Les Véroilles";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chapelle-Chambertin";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Charlemagne";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Charmes-Chambertin";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Abbaye de Morgeot blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Abbaye de Morgeot rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Blanchot dessus blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Blanchot dessus rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Bois de Chassagne blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Bois de Chassagne rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Cailleret blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Cailleret rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Champs Jendreau blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Champs Jendreau rouge";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Chassagne blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Chassagne du Clos Saint-Jean blanc";"";
"AOC - Appellation d'origine contrôlée";"AOP - Appellation d'origine protégée";"Chassagne-Montrachet premier cru Chassagne du Clos Saint-Jean rouge";"";
